Feature,Average
FCVC_round+CAEC_map,0.266835568
FCVC_round+NCP_ceil_round,0.260278348
SCC_div_sum_of_MTRANS_and_family_history_with_overweight,0.256865329
FAVC_div_sum_of_CAEC_and_MTRANS,0.256773315
CALC_minus_CAEC,0.255090163
CALC_x_CAEC,0.252936463
FCVC_round+CALC_map,0.251638632
FCVC_round+Public_Transportation,0.251303472
FCVC_ceil_round+CAEC_map,0.250186789
Gender_map,0.247122108
NCP_floor_round+Gender_map,0.247106873
CALC_map+Gender_map,0.242343939
MTRANS_minus_family_history_with_overweight,0.238873267
CALC_plus_MTRANS_minus_FAVC,0.23853515
MTRANS_plus_FAVC_minus_CALC,0.237952899
SCC_div_sum_of_CAEC_and_MTRANS,0.237441938
CALC_plus_FAVC_minus_MTRANS,0.236471055
FCVC_ceil_round+Gender_map,0.235552207
CALC_plus_MTRANS_plus_FAVC,0.235452154
MTRANS_x_family_history_with_overweight,0.234978832
SCC_div_sum_of_family_history_with_overweight_and_FAVC,0.221752814
NCP_floor_round+CAEC_map,0.220284871
TUE_ceil_round+family_history_with_overweight_map,0.219829716
CAEC_x_MTRANS,0.219111422
CAEC_minus_MTRANS,0.219007485
CH2O_ceil_round+FCVC_round,0.215583294
family_history_with_overweight_plus_FAVC_minus_SMOKE,0.213894543
TUE_ceil_round+FCVC_round,0.2129664
TUE_floor_round+FCVC_floor_round,0.21226311
family_history_with_overweight_plus_SMOKE_minus_FAVC,0.21039283
FAVC_div_sum_of_family_history_with_overweight_and_SMOKE,0.210270079
FAF_floor_round+Gender_map,0.20861589
NCP_ceil_round+CAEC_map,0.208397021
FCVC_round,0.206379231
TUE_floor_round+CAEC_map,0.204858319
TUE_ceil_round+Gender_map,0.204069091
SCC_div_sum_of_CAEC_and_FAVC,0.20370155
TUE_floor_round+NCP_ceil_round,0.19688981
CALC_x_MTRANS,0.194084388
CALC_minus_MTRANS,0.193981317
FCVC_floor_round+Automobile,0.192983796
FAVC_div_sum_of_CAEC_and_SMOKE,0.192017414
TUE_ceil_round+NCP_ceil_round,0.190994035
TUE_ceil_round+CAEC_map,0.189152612
SCC_div_sum_of_family_history_with_overweight_and_SMOKE,0.188902948
FCVC_ceil_round,0.188009705
CAEC_x_FAVC,0.184897679
Std_family_history_with_overweight_SCC,0.184035822
CAEC_minus_FAVC,0.182952339
CALC_plus_SCC_minus_FAVC,0.18159193
FCVC_ceil_round+Automobile,0.179369693
CH2O_floor_round+Gender_map,0.178510042
NCP_floor_round+Public_Transportation,0.178104861
CH2O_ceil_round+CALC_map,0.175889207
NCP_floor_round+family_history_with_overweight_map,0.172464862
FCVC_round+Automobile,0.170953605
TUE_floor_round+FAF_floor_round,0.170913781
NCP_ceil_round+CALC_map,0.169795777
TUE_floor_round+Public_Transportation,0.169749374
NCP_ceil_round+family_history_with_overweight_map,0.168756139
SCC_div_sum_of_CAEC_and_SMOKE,0.167897332
family_history_with_overweight_map,0.167533018
family_history_with_overweight_map+CAEC_map,0.167382115
TUE_floor_round+family_history_with_overweight_map,0.1654186
CH2O_ceil_round+Gender_map,0.164540551
TUE_ceil_round+CALC_map,0.161658243
FAF_floor_round+NCP_ceil_round,0.160377166
FCVC_round+Gender_map,0.16022158
NCP_ceil_round+Public_Transportation,0.159795675
CALC_map+CAEC_map,0.159770299
CALC_x_FAVC,0.157657826
CH2O_floor_round+FCVC_floor_round,0.156889923
CALC_minus_FAVC,0.156031105
NCP_floor_round+Automobile,0.15597949
TUE_floor_round+Automobile,0.15195248
FAF_ceil_round+Gender_map,0.151697367
FCVC_round+CH2O_round,0.151559052
TUE_floor_round+FCVC_round,0.148984247
Public_Transportation+CALC_map,0.147992899
